CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
1201437840;645120;51201;114529;793;50294;114529
1219250420;655360;51965;116208;965;50964;116208
1214258258;655360;52018;115578;859;51071;115578
1215067108;655360;51991;116202;1301;51037;116202
1214221136;655360;51930;115748;1335;50962;115748
1214463604;655360;51971;115820;1072;51011;115820
1220189318;655360;51965;116279;1526;50990;116279
1214882490;655360;51980;116060;979;51020;116060
1219773946;655360;51987;115777;1358;51036;115777
1214679968;655360;51957;114848;1162;51000;114848
1215358840;655360;52081;116198;1157;51190;116198
1233552708;665600;52796;118004;1105;51804;118004
1233557420;665600;52814;119552;530;51885;119552
